sp,weber.length,head.width,pronotum.width,mandible.length,scape.length,eye.width,leg.length,label,caste
agra,1.362,0.944,0.578,0.584,0.751,0.139,1.631,IAS0070,w
agra,1.279,0.906,0.508,0.543,0.727000001,0.134,1.367,IAS1202,w
agra,1.354787,0.94624,0.580717,0.518824,0.754821,0.179196001,1.589503999,LMC0006,w
agra,1.216997,0.896013,0.546869,0.515249,0.712172999,0.118491,1.507983,LMC0019,w
agra,1.31163,0.90893,0.558102,0.509938,0.747391,0.155825,1.556521,LMC0179,w
agra,1.262423,0.926044,0.576676,0.518007,0.744926,0.134567,1.553818,LMC0188,w
agra,1.343026,0.981400999,0.591491,0.568027001,0.786035,0.169835,1.630281999,LMC0212,w
agra,1.399241,0.972567,0.596490999,0.577858,0.779137,0.159949999,1.721248,LMC0260,w
agra,1.335711,0.964945,0.587863001,0.555889,0.771514,0.160579,1.651968,LMC0282,w
agra,1.298862,0.933760999,0.582011,0.554968,0.742646999,0.158744,1.741111,LMC0382,w
bobs,1.121976,0.739498,0.496248,0.43972,0.672022999,0.108856999,1.368696,LMC0062,w
bobs,1.169457,0.810628,0.565883,0.451339,0.730691,0.154554,1.538536,LMC0070,w
bobs,1.156648,0.758590999,0.538317,0.44999,0.715603,0.114893,NA,LMC0123,w
bobs,1.281558,0.832886,0.559442,0.497192999,0.730484,0.146671,1.482452,LMC0153,w
bobs,1.285584,0.826868001,0.584723,0.467675,0.744560001,0.125503,1.556969999,LMC0168,w
bobs,1.213868,0.800783,0.537512001,0.494493001,0.750267001,0.104554,1.527929,LMC0185,w
bobs,1.192202,0.775367,0.520522,0.469503,0.704929,0.135149,1.424778,LMC0198,w
bobs,1.196889,0.825172,0.552826,0.484556001,0.730777,0.16394,NA,LMC0204,w
bobs,1.147091,0.787069,0.536429,0.477553,0.693458,0.137461,1.354408,LMC0218,w
bobs,1.195482,0.808969,0.528502999,0.472137,0.735973,0.148439,1.418915,LMC0223,w
care,0.769845,0.603267,0.379263,0.321485,0.491469,0.061484,1.276312,LMC0094,w
care,0.841368,0.635509,0.410806,0.428349,0.517663,0.074737,1.221555,LMC0351,w
care,0.696883,0.554015,0.360372,0.345889,0.486104,0.057426,1.085277,LMC0379,w
care,0.702822,0.561495,0.345403,0.377979,0.470414,0.070018,1.072738,MP0013,w
care,0.759193,0.579419,0.373723,0.407179,0.500891,0.072773,1.12625,MP0065,w
care,0.766811,0.591543,0.382503,0.370301,0.480509,0.066469,1.249964,MP0080,w
care,0.800061,0.635035,0.397923,0.383554,NA,0.079504,1.305884,MP0085,w
care,0.781,0.607,0.393,0.404,0.47,0.08,1.203,RHL011018,w
care,0.824,0.633,0.402,0.406,0.523,0.093,1.144,RHL01126,w
care,0.7,0.534,0.357,0.358,0.454,0.07,1.1,RHL01270,w
cfer,0.82,0.706,0.413,0.309,0.48,0.172,1.028,IAS0111,w
cfer,0.802472,0.654682,0.40957,0.320663,0.477508,0.174526,1.053467,LMC0060,w
cfer,0.671933,0.651051,0.358699,0.292519,0.470928,0.150862,0.992768,LMC0076,w
cfer,0.799529,0.746447,0.42993,0.327239,0.506444,0.18458,1.138897,LMC0118,w
cfer,0.780267,0.694006,0.403624,0.296313,0.452855,0.170277,1.037608,LMC0138,w
cfer,0.732798,0.683515,0.395446,0.299466,0.497104,0.15801,NA,LMC0276,w
cfer,0.858594,0.781999,0.45052,0.36641,0.535782,0.192166,1.007013,LMC0384,w
cfer,0.758,0.643,0.37,0.309,0.472,0.167,0.966,LMC0510,w
cfer,0.724,0.655,0.392,0.321,0.432,0.162,0.856,LMC0511,w
cfer,0.805,0.679,0.404,0.354,0.493,0.164,1.005,LMC0512,w
cfer,0.652855,0.576124,0.325185,0.266951,0.425418,0.137815,0.832257,MP0079,w
cnic,2.284444,1.249458,0.92343,0.608970999,1.949113001,0.411116999,3.751291,LMC0011,w
cnic,2.05436,1.101319001,0.942029001,0.543930001,1.596564,0.362928,3.714469001,LMC0058,w
cnic,2.286753,1.209136,1.035055,0.610942,1.807322,0.405628,3.806546,LMC0066,w
cnic,2.374423,1.415399999,1.024077,0.702509,1.842059999,0.418838,4.353353999,LMC0080,w
cnic,2.051073,1.113224,0.804124999,0.586022999,1.777583,0.364294,3.541425999,LMC0107,w
cnic,2.455544,1.449804,1.003440999,0.704348,1.712492999,0.422541,4.041157,LMC0296,w
cnic,2.290304,1.292767999,0.956460001,0.706857,1.791578999,0.435927,4.300625999,LMC0343,w
cnic,2.198325,1.162019,0.846921,0.645861,1.696269,0.397277001,3.875392,LMC0386,w
cnic,2.46985,1.362208001,0.981392,0.694088001,1.786792001,0.413047,3.74607,MP0044,w
cnic,2.024594,1.062437,0.792007001,0.593270001,1.708259,0.364563999,3.828693,MP0052,w
cnic,2.535127,1.783863999,1.106903999,0.786151999,1.786750001,0.444601001,4.587229,LMC0045,m
cobs,0.503432,0.345352,0.226947,0.178771,0.29578,0.092806,0.535429,LMC0026,w
cobs,0.504025,0.360348,0.239907,0.204655,0.314127,0.093315,0.583029,LMC0033,w
